data__time;data__result__001;data__result__002;data__result__003;data__result__004;data__result__005;data__result__006
21,67698931;0,017597827;0,010546472;0,035216039;1,00E-18;0,017597827;-0,010546472
21,99114858;0,017612306;0,010555331;0,035244688;9,94E-19;0,017612306;-0,010555331
22,30530784;0,017599527;0,010547489;0,03521927;1,00E-18;0,017599527;-0,010547489
22,61946711;0,017610698;0,01055437;0,035241632;9,88E-19;0,017610698;-0,01055437
22,93362637;0,017601047;0,010548397;0,035222157;9,93E-19;0,017601047;-0,010548397
23,24778564;0,017609262;0,010553512;0,035238905;9,89E-19;0,017609262;-0,010553512
23,5619449;0,017602403;0,010549207;0,035224732;9,91E-19;0,017602403;-0,010549207
23,87610417;0,017607983;0,010552748;0,035236477;9,86E-19;0,017607983;-0,010552748
24,19026343;0,017603608;0,010549927;0,035227021;9,82E-19;0,017603608;-0,010549927
24,5044227;0,017606848;0,01055207;0,03523432;9,79E-19;0,017606848;-0,01055207
24,81858196;0,017604677;0,010550565;0,035229051;9,68E-19;0,017604677;-0,010550565
25,13274123;0,017605842;0,01055147;0,035232411;9,79E-19;0,017605842;-0,01055147
25,44690049;0,017605622;0,010551129;0,035230845;9,85E-19;0,017605622;-0,010551129
25,76105976;0,017604955;0,01055094;0,035230727;9,63E-19;0,017604955;-0,01055094
26,07521902;0,017606454;0,010551626;0,035232425;9,52E-19;0,017606454;-0,010551626
26,38937829;0,017604175;0,010550474;0,035229246;9,48E-19;0,017604175;-0,010550474
26,70353756;0,017607184;0,010552062;0,035233811;9,59E-19;0,017607184;-0,010552062
27,01769682;0,017603493;0,010550067;0,035227951;9,51E-19;0,017603493;-0,010550067
27,33185609;0,01760782;0,010552442;0,03523502;9,47E-19;0,01760782;-0,010552442
27,64601535;0,0176029;0,010549712;0,035226823;9,55E-19;0,0176029;-0,010549712
27,96017462;0,017608373;0,010552773;0,035236071;9,53E-19;0,017608373;-0,010552773
28,27433388;0,017602386;0,010549405;0,035225846;9,48E-19;0,017602386;-0,010549405
28,58849315;0,017608849;0,010553058;0,035236977;9,40E-19;0,017608849;-0,010553058
28,90265241;0,017601945;0,010549141;0,035225007;9,39E-19;0,017601945;-0,010549141
29,21681168;0,017609257;0,010553302;0,035237752;9,33E-19;0,017609257;-0,010553302
29,53097094;0,017601569;0,010548916;0,035224292;9,39E-19;0,017601569;-0,010548916
29,84513021;0,017609603;0,010553509;0,03523841;9,39E-19;0,017609603;-0,010553509
30,15928947;0,017601253;0,010548725;0,035223688;9,31E-19;0,017601253;-0,010548725
30,47344874;0,017609892;0,010553683;0,035238963;9,24E-19;0,017609892;-0,010553683
30,78760801;0,017600989;0,010548567;0,035223185;9,20E-19;0,017600989;-0,010548567
31,10176727;0,017610131;0,010553827;0,03523942;9,14E-19;0,017610131;-0,010553827
31,41592654;0,017600773;0,010548436;0,035222771;9,12E-19;0,017600773;-0,010548436
31,7300858;0,017610325;0,010553945;0,035239791;9,10E-19;0,017610325;-0,010553945
32,04424507;0,0176006;0,010548332;0,035222439;8,97E-19;0,0176006;-0,010548332
32,35840433;0,017610478;0,010554038;0,035240086;9,01E-19;0,017610478;-0,010554038
