Time;Car linear displacement;Car angular displacement;Engine linear displacement;Driver linear displacement;Rear linear displacement;Front linear displacement;Car linear velocity;Car angular velocity;Engine linear velocity;Driver linear velocity;Rear linear velocity;Front linear velocity;Car linear acceleration;Car angular acceleration;Engine linear acceleration;Driver linear acceleration;Rear linear acceleration;Front linear acceleration;Car equivalente force;Car equivalente torque;Engine equivalente force;Driver equivalente force;Rear equivalente force;Front equivalente force
0.29;-0.098538439;0.246795046;-0.168462234;-0.084237081;-0.053104372;0.01294112;-0.224711964;-4.969669766;1.14843204;-0.636828314;3.537454633;-1.324606258;20.18713788;-131.936005;50.63211443;32.13280517;-322.9743947;-13.55015961;-1029.69825;-8.237586;-5.455131077;-392.266;-209.9482556;-49.03325
0.3;-0.099951636;0.19207718;-0.154661134;-0.089152637;-0.032262071;-0.000583367;-0.057927457;-5.970526029;1.611787951;-0.34628297;0.631005511;-1.380291173;13.16976361;-70.93972039;42.03906772;25.97626347;-258.3154297;2.413176686;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.31;-0.099802991;0.1304572;-0.13708535;-0.091742021;-0.030505315;-0.013912453;0.087656425;-6.355441092;1.903368991;-0.171593795;-0.279654213;-1.28552605;15.94701281;-15.73813753;16.27714032;8.961571653;76.18348485;16.53984785;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.32;-0.097880777;0.067222603;-0.117161509;-0.093317074;-0.027367562;-0.025748566;0.296786286;-6.295881042;2.081399077;-0.143416942;0.907204716;-1.081696571;25.87895929;19.78316091;19.3288768;-3.326201147;161.188301;24.22604807;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.33;-0.093581596;0.006051361;-0.095431202;-0.094749219;-0.014091273;-0.035348422;0.563049945;-5.942580006;2.264662335;-0.143012032;1.748053195;-0.838274515;27.37377252;48.00918416;17.3237749;3.407183244;6.981394827;24.45836304;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
0.34;-0.086837042;-0.050273282;-0.072575004;-0.09542564;0.00114836;-0.042575842;0.785860916;-5.324942799;2.306577396;0.007727832;1.299873391;-0.607209641;17.18842172;76.74407752;-8.940762813;26.74078957;-96.61735569;21.75461168;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.35;-0.078412426;-0.099119162;-0.050165723;-0.093492337;0.010311297;-0.047567355;0.899062274;-4.444566683;2.175278663;0.378932779;0.532713889;-0.391092955;5.451849801;101.7496768;-17.31898374;47.50019971;-56.81454474;21.46872559;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.36;-0.069183323;-0.13813555;-0.029734398;-0.087333735;0.014430244;-0.050309295;0.94675833;-3.357172428;1.910986328;0.852787684;0.29107552;-0.157294893;4.08736153;116.1430744;-35.53948325;47.27078139;8.486870959;25.29088675;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.37;-0.059433561;-0.165618479;-0.012344366;-0.076994804;0.017799768;-0.050500483;1.003193961;-2.13719329;1.567020192;1.214998447;0.382829369;0.119057155;7.199764507;124.4621289;-33.25374399;25.1713712;9.863898859;29.97952285;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.38;-0.048953222;-0.180571524;0.002206617;-0.06427068;0.02130911;-0.04779282;1.09287382;-0.851791019;1.343176347;1.329826473;0.319038993;0.422475558;10.73620746;125.7345475;-11.51502502;-2.205765927;-22.62197411;30.7041579;-1029.69825;-8.237586;-187.0384598;-392.266;-49.03325;-49.03325
0.39;-0.03743442;-0.182864279;0.014571637;-0.051390966;0.023180149;-0.042161644;1.210886656;0.393502086;1.129827608;1.246116336;0.055168799;0.703759647;12.86635961;115.2105039;-31.15472266;-14.53626167;-30.15206472;25.55265977;-1029.69825;-8.237586;-5.455131077;-392.266;-49.03325;-49.03325
0.4;-0.024983697;-0.173364103;0.024304669;-0.039412555;0.022605022;-0.03412357;1.279257958;1.505596415;0.816778759;1.149565729;-0.170194121;0.903855115;0.807900826;100.5235145;-31.45504726;-4.773859657;-14.92051927;14.466434;-1029.69825;-8.237586;-117.6798;-392.266;-49.03325;-49.03325
0.41;-0.012538317;-0.153698928;0.031115147;-0.027698822;0.020319916;-0.024691094;1.209818012;2.426071923;0.545316941;1.193180982;-0.286827188;0.982640153;-14.69589007;79.8827272;-22.83731625;13.49691034;-8.406093965;1.290573462;-1029.69825;-8.237586;-229.9044689;-392.266;-49.03325;-49.03325
0.42;-0.001260576;-0.126130191;0.03483896;-0.014949673;0.016995046;-0.014980334;1.045730172;3.086742096;0.199445721;1.356648855;-0.378146747;0.959511754;-18.12167783;51.70017879;-46.33692784;19.1966641;-9.857817956;-5.91625331;-1029.69825;-8.237586;-48.32114023;-392.266;-49.03325;-49.03325
