Time;Engine mount deformation;Seat deformation;Rear deformation;Front deformation;Rear tire deformation;Front tire deformation;Engine mount deformation velocity;Seat deformation velocity;Rear deformation velocity;Front deformation velocity;Rear tire deformation velocity;Front tire deformation velocity;Engine mount deformation acceleration;Seat deformation acceleration;Rear deformation acceleration;Front deformation acceleration;Rear tire deformation acceleration;Front tire deformation acceleration;;;;;;
0.62;-2.25E-05;0.006688386;-0.030743423;-0.08414479;-0.009948005;-0.03167092;0.006366969;-0.112482021;-0.01485775;-0.834548368;-0.094985806;-0.122631037;6.021511607;-31.35651641;-11.15472417;34.10502555;-6.777694586;8.545517668;0;0;0;0;0;0
0.63;7.22E-05;0.004568467;-0.031493343;-0.090746203;-0.011086424;-0.032317829;0.012549237;-0.311498251;-0.135153566;-0.485700166;-0.132697922;-0.006750891;-4.717279171;-8.46575521;-12.75223417;35.47435879;-0.76472856;14.63051143;0;0;0;0;0;0
0.64;0.00015683;0.001766969;-0.033379122;-0.093741723;-0.012372487;-0.031571183;0.004385938;-0.24880195;-0.241997301;-0.113410164;-0.124514695;0.156080234;3.161889131;20.98332574;-8.442994551;38.76674389;2.401373947;17.93571374;0;0;0;0;0;0
0.65;0.000167039;0.00060628;-0.036078921;-0.092909159;-0.013499204;-0.029190775;-0.002329557;0.016660019;-0.297929821;0.27988231;-0.100828646;0.32000124;-4.446822463;32.0927408;-2.61289169;39.72847861;2.335835832;14.84848735;0;0;0;0;0;0
0.66;6.72E-05;0.001970984;-0.039096456;-0.088247865;-0.014423441;-0.025451528;-0.017622852;0.256276437;-0.305542481;0.652333087;-0.084018729;0.427848255;1.409412333;15.82457823;1.138076454;34.70203075;1.026147583;6.720915709;0;0;0;0;0;0
0.67;8.04E-05;0.004519384;-0.042137225;-0.080272611;-0.015264584;-0.021051374;0.020270291;0.253401961;-0.30259845;0.942701523;-0.084209894;0.452182565;6.160148483;-16.39692823;-0.569632924;23.39711001;-1.064380638;-1.85405373;0;0;0;0;0;0
0.68;0.000151175;0.005761402;-0.045199923;-0.069976582;-0.016196458;-0.016724246;-0.00612237;-0.004996829;-0.309953157;1.116519368;-0.102165033;0.413242952;-11.45720868;-35.27762892;-0.942915221;11.41846726;-2.526647128;-5.9338688;0;0;0;0;0;0
0.69;-5.40E-06;0.004322249;-0.048171796;-0.058422064;-0.017232458;-0.012819996;-0.025203534;-0.282830669;-0.284447514;1.194416783;-0.105034902;0.367607006;7.630005476;-20.28605952;6.019408488;4.19181001;1.952673219;-3.193320428;0;0;0;0;0;0
0.7;9.13E-05;0.00120207;-0.050685313;-0.04638943;-0.018022024;-0.00917882;0.044526662;-0.34120212;-0.218279339;1.212139491;-0.05287831;0.360628355;6.318305971;8.611131465;7.219328917;-0.653646543;8.478645215;1.797590176;0;0;0;0;0;0
0.71;0.000285732;-0.00128057;-0.05243982;-0.034360493;-0.018133665;-0.005478864;-0.005640042;-0.155324245;-0.132634635;1.193663559;0.030550098;0.379362742;-16.34057181;28.56133467;9.934481976;-3.072627419;8.207036393;1.94928724;0;0;0;0;0;0
